ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.1,204.89,20791.32,6.1,330.07,502.2,14.32,60.19,4.62,1
8.2,181.23,18982.34,5.8,320.33,488.22,12.87,67.22,3.23,0
6.9,211.55,23453.21,7.0,305.13,479.21,15.98,50.3,2.33,1
7.5,210.92,21682.11,6.2,322.16,510.22,13.45,57.88,3.56,1
6.7,195.32,18799.32,5.6,308.44,470.19,10.24,70.32,3.89,0
7.9,182.88,19001.45,5.9,315.09,495.33,13.0,65.13,4.05,1
7.0,199.42,21045.99,6.4,309.87,500.11,14.92,58.99,2.9,1
7.8,205.13,21122.32,6.5,313.66,506.72,13.32,63.12,4.01,0
7.2,212.44,21832.11,6.8,311.44,504.19,12.67,59.45,3.72,1
6.8,191.22,20222.99,5.7,318.33,480.44,11.54,66.88,2.88,0
